Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
STRFF,Star Royalties Ltd,0.395,,$28.90M,,Canada,Materials,Metals & Mining,No
ADRT,Ault Disruptive Technologies Corporation,10.05,,$28.89M,,United States of America,--,--,No
WEXPF,Western Exploration Inc,0.94,0.00232,$28.83M,,United States of America,Materials,Metals & Mining,No
BLILF,Bearing Lithium Corp,0.2643,,$28.82M,,Canada,Materials,Metals & Mining,No
IEHC,IEH Corp,12.15,,$28.80M,,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",No
AGRI,AgriForce Growing Systems Ltd,1.85,,$28.78M,,Canada,Consumer Staples,Food Products,No
BRN,Barnwell Industries Inc,2.89,0.19153,$28.78M,2.07612,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
ATGN,AltiGen Communications Inc,1.2,0.03407,$28.77M,,United States of America,Information Technology,Communications Equipment,No
WPNDF,Wishpond Technologies Ltd,0.54878,,$28.68M,,Canada,Information Technology,Software,No
ARDS,Aridis Pharmaceuticals Inc,1.62,0.1059,$28.68M,,United States of America,Health Care,Biotechnology,No
IMMX,Immix Biopharma Inc,2.06,,$28.65M,,United States of America,Health Care,Biotechnology,No
HLYK,HealthLynked Corp,0.1174,,$28.65M,,United States of America,Health Care,Health Care Technology,No
GLBZ,Glen Burnie Bancorp,10.0,0.00138,$28.62M,4.0,United States of America,Financials,Banks,No
TTLHF,Total Helium Ltd,0.435,,$28.60M,,Canada,Materials,Chemicals,No
WCUFF,World Copper Ltd,0.26653,,$28.57M,,Canada,Materials,Metals & Mining,No
AATC,Autoscope Technologies Corp,5.29,0.01315,$28.56M,9.07372,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",No
FSI,Flexible Solutions International Inc,2.3,0.03658,$28.49M,,Canada,Materials,Chemicals,No
DWSN,Dawson Geophysical Co,1.19,0.00763,$28.34M,,United States of America,Energy,Energy Equipment & Services,No
NWRCF,Kenorland Minerals Ltd,0.548,,$28.32M,,Canada,Materials,Metals & Mining,No
QTNT,Quotient Ltd,0.2084,2.36835,$28.30M,,Switzerland,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
ENDMF,Enduro Metals Corp,0.13,,$28.21M,,Canada,Materials,Metals & Mining,No
MLPMF,Millennial Precious Metals Corp,0.2035,,$28.20M,,Canada,Materials,Metals & Mining,No
EQOS,Eqonex Limited,0.6,,$28.18M,,Singapore,Financials,Capital Markets,Yes (Option Chain)
GTAGF,Golden Tag Resources Ltd,0.1302,,$28.17M,,Canada,Materials,Metals & Mining,No
CTDN,Capital Directions Inc,,,$28.10M,,United States of America,Financials,Banks,No
AXRX,Amexdrug Corp,0.165,,$27.95M,,United States of America,Health Care,Health Care Providers & Services,No
OMHI,OM Holdings International Inc,0.535,,$27.93M,,United States of America,Materials,Metals & Mining,No
MEEC,Midwest Energy Emissions Corp,0.31,0.06463,$27.86M,,United States of America,Industrials,Commercial Services & Supplies,No
BASA,Basanite Inc,0.11,,$27.85M,,United States of America,Materials,Chemicals,No
EDUC,Educational Development Corp,3.2,0.01529,$27.84M,12.5,United States of America,Consumer Discretionary,Distributors,No
LEMIF,Leading Edge Materials Corp,0.1823,0.07521,$27.81M,,Canada,Materials,Metals & Mining,No
BAFI,Bancaffiliated Inc,100.0,,$27.80M,,United States of America,Financials,Banks,No
TRIB,Trinity Biotech PLC,1.33,0.08872,$27.80M,,Ireland,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
TLRS,Timberline Resources Corp,0.174,0.07166,$27.78M,,United States of America,Materials,Metals & Mining,No
FIEIF,Otso Gold Corp,0.0275,,$27.76M,,Canada,Materials,Metals & Mining,No
RVPH,Reviva Pharmaceuticals Holdings Inc,1.53,,$27.74M,,United States of America,Health Care,Pharmaceuticals,No
MICS,Singing Machine Co Inc (The),8.95,0.26019,$27.70M,,United States of America,Consumer Discretionary,Household Durables,No
SGRP,SPAR Group Inc,1.27,0.02194,$27.63M,,United States of America,Communication Services,Media,No
SVT,Servotronics Inc.,11.05,0.00268,$27.61M,,United States of America,Industrials,Electrical Equipment,No
EDSA,Edesa Biotech Inc,1.78,0.06804,$27.52M,,Canada,Health Care,Biotechnology,No
ABVC,ABVC BioPharma Inc,0.841,0.10243,$27.44M,,United States of America,Health Care,Biotechnology,No
VWFB,VWF Bancorp Inc,14.27,,$27.44M,,United States of America,--,--,No
PRPO,Precipio Inc,1.205,0.23541,$27.40M,,United States of America,Health Care,Health Care Providers & Services,No
ELEV,Elevation Oncology Inc,1.17,0.46938,$27.25M,,United States of America,Health Care,Biotechnology,No
SGBX,SG Blocks Inc,2.26,0.06525,$27.23M,,United States of America,Industrials,Construction & Engineering,No
FRZA,Forza X1 Inc,3.89,,$27.23M,,United States of America,Consumer Discretionary,Leisure Products,No
MOXC,Moxian (BVI) Inc,1.39,0.06703,$27.18M,,China,Consumer Discretionary,Internet & Direct Marketing Retail,No
DGHI,Digihost Technology Inc,0.97,,$27.15M,,Canada,Information Technology,Software,No
SCTSF,Scottie Resources Corp,0.1333,0.03949,$27.12M,,Canada,Materials,Metals & Mining,No
SRGA,Surgalign Holdings Inc,4.02,0.10297,$27.12M,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
APTX,Aptinyx Inc,0.3999,0.40009,$27.08M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
TYDE,Cryptyde Inc,0.8657,,$27.06M,,United States of America,Materials,Containers & Packaging,No
IDRA,Idera Pharmaceuticals Inc,0.51,0.78068,$27.06M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
PATI,Patriot Transportation Holding Inc,7.76,0.00524,$27.04M,7.73196,United States of America,Industrials,Road & Rail,No
ATIXF,AnalytixInsight Inc,0.28,0.00514,$27.01M,,Canada,Information Technology,Software,No
BPTH,Bio-Path Holdings Inc,3.77,0.03581,$26.99M,,United States of America,Health Care,Biotechnology,No
GBNY,Generations Bancorp NY Inc,11.11,,$26.99M,,United States of America,Financials,Thrifts & Mortgage Finance,No
NSUPF,Northern Superior Resources Inc,0.38,,$26.96M,,Canada,Materials,Metals & Mining,No
LEGAU,Lead Edge Growth Opportunities Ltd,9.87,,$26.86M,,United States of America,--,--,No
ONCS,OncoSec Medical Inc,0.682,0.03698,$26.85M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
VIVC,Vivic Corp,1.05,,$26.82M,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
BSQR,BSQUARE Corp,1.31,0.0539,$26.81M,,United States of America,Information Technology,Software,Yes (Option Chain)
CRBP,Corbus Pharmaceuticals Holdings Inc,0.2137,1.23319,$26.77M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
FWP,Forward Pharma A/S,3.77,0.0056,$26.73M,,Denmark,Health Care,Biotechnology,No
SEAC,SeaChange International Inc,0.535,1.17091,$26.66M,,United States of America,Information Technology,Software,Yes (Option Chain)
FBRX,Forte Biosciences Inc,1.31,0.24082,$26.65M,,United States of America,Health Care,Biotechnology,No
ENTEF,ESE Entertainment Inc,0.3732,,$26.60M,,Canada,Communication Services,Entertainment,No
MRKR,Marker Therapeutics Inc,0.3182,1.32165,$26.60M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
DUOT,Duos Technologies Group Inc,4.35,,$26.56M,,United States of America,Information Technology,Software,No
CVR,Chicago Rivet & Machine Co.,27.4605,0.00361,$26.53M,3.2046,United States of America,Industrials,Machinery,No
SMURF,Tokens.com Corp,0.2737,,$26.52M,,Canada,Information Technology,IT Services,No
FTMDF,Fortune Minerals Ltd,0.0704,0.06378,$26.40M,,Canada,Materials,Metals & Mining,No
HERTF,Heritage Cannabis Holdings Corp,0.0295,,$26.35M,,Canada,Health Care,Pharmaceuticals,No
SDPI,Superior Drilling Products Inc,0.9011,0.15743,$26.35M,,United States of America,Energy,Energy Equipment & Services,No
AEMD,Aethlon Medical Inc,1.15,3.17897,$26.34M,,United States of America,Health Care,Health Care Equipment & Supplies,No
VISL,Vislink Technologies Inc,0.5553,0.28613,$26.33M,,United States of America,Information Technology,Communications Equipment,No
CMUV,CMUV Bancorp,14.15,,$26.29M,2.82686,United States of America,Financials,Banks,No
ARHTF,ARHT Media Inc,0.142,,$26.28M,,Canada,Information Technology,Software,No
FXRVF,Fox River Resources Corp,0.5022,,$26.28M,,Canada,Materials,Metals & Mining,No
SRGXF,Surge Copper Corp,0.155,0.03546,$26.27M,,Canada,Materials,Metals & Mining,No
ROBOF,RoboGroup TEK Ltd,0.0,,$26.25M,,Israel,Industrials,Machinery,No
HNCKF,Giga Metals Corp,0.2681,0.08877,$26.23M,,Canada,Materials,Metals & Mining,No
BLAGF,Blue Lagoon Resources Inc,0.25905,,$26.22M,,Canada,Materials,Metals & Mining,No
CTXXF,CEMATRIX Corp,0.195,0.00812,$26.12M,,Canada,Materials,Construction Materials,No
ONTX,Onconova Therapeutics Inc,1.25,0.11107,$26.12M,,United States of America,Health Care,Pharmaceuticals,No
CANF,Can Fite BioPharma Ltd,0.96,0.33076,$26.10M,,Israel,Health Care,Biotechnology,No
FLYLF,FLYHT Aerospace Solutions Ltd,0.6833,0.02156,$26.08M,,Canada,Industrials,Aerospace & Defense,No
SBET,SharpLink Gaming Ltd,1.165,,$26.05M,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",No
PEI,Pennsylvania Real Estate Investment Trust,4.85,0.09223,$26.04M,,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
NNVC,NanoViricides Inc,2.25,0.44207,$26.00M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
EFTR,eFFECTOR Therapeutics Inc,0.6261,,$25.95M,,United States of America,Health Care,Biotechnology,No
QNCCF,Quantum eMotion Corp,0.19135,,$25.91M,,Canada,Information Technology,Semiconductors & Semiconductor Equipment,No
NKORF,Palladium One Mining Inc,0.10035,,$25.87M,,Canada,Materials,Metals & Mining,No
RGRX,RegeneRx Biopharmaceuticals Inc,0.18,0.03329,$25.84M,,United States of America,Health Care,Biotechnology,No
OPHC,OptimumBank Holdings Inc,4.2869,0.0146,$25.84M,,United States of America,Financials,Banks,No
JCSE,JE Cleantech Hold Ltd,1.72,,$25.83M,,Singapore,Industrials,Machinery,No
APGOF,Apollo Silver Corp,0.148,,$25.82M,,Canada,Materials,Metals & Mining,No
EFBI,Eagle Financial Bancorp Inc,19.0,0.00077,$25.75M,1.47368,United States of America,Financials,Thrifts & Mortgage Finance,No
SONM,Sonim Technologies Inc,0.7499,1.34487,$25.74M,,United States of America,Information Technology,"Technology Hardware, Storage & Peripherals",No
MNBP,Mars Bancorp Inc,16.08,,$25.73M,3.9801,United States of America,Financials,Banks,No
SIOX,Sio Gene Therapies Inc,0.34689,0.68736,$25.66M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
OST,Ostin Technology Group Co Ltd,1.9,,$25.65M,,China,Information Technology,"Electronic Equipment, Instruments & Components",No
PLXP,PLx Pharma Inc,0.91,0.27186,$25.64M,,United States of America,Health Care,Pharmaceuticals,No
RIOFF,Rio2 Ltd,0.0995,0.20475,$25.62M,,Canada,Materials,Metals & Mining,No
CTIMF,P2 Gold Inc,0.32,,$25.61M,,Canada,Materials,Metals & Mining,No
BDCO,Blue Dolphin Energy Co,1.73,0.03521,$25.60M,,United States of America,Energy,"Oil, Gas & Consumable Fuels",No
MITI,Mitesco Inc,0.11338,,$25.57M,,United States of America,Health Care,Health Care Providers & Services,No
TSGZF,TriStar Gold Inc,0.1,0.04671,$25.51M,,United States of America,Materials,Metals & Mining,No
RROYF,RE Royalties Ltd,0.59088,,$25.48M,5.25567,Canada,Utilities,Independent Power and Renewable Electricity Producers,No
CNET,ZW Data Action Technologies Inc,0.7096,0.45833,$25.42M,,China,Communication Services,Media,Yes (Option Chain)
MTMT,Mega Matrix Corp,1.15,0.10837,$25.40M,,United States of America,Industrials,Trading Companies & Distributors,No
TDBSF,TDb Split Corp,4.15,,$25.39M,,Canada,--,--,No
NCAUF,Newcore Gold Ltd,0.209,,$25.38M,,Canada,Materials,Metals & Mining,No
BIOL,Biolase Inc,3.7007,0.05306,$25.37M,,United States of America,Health Care,Health Care Equipment & Supplies,No
BQ,Boqii Holding Ltd,1.66,0.22593,$25.36M,,China,Consumer Discretionary,Internet & Direct Marketing Retail,No
BKUCF,Blue Sky Uranium Corp,0.1265,0.09068,$25.26M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
AHG,Akso Health Group,1.06,,$25.26M,,China,Financials,Consumer Finance,No
SSFT,Sonasoft Corp,0.039,,$25.24M,,United States of America,Information Technology,Software,No
CBSC,CB Scientific Inc,0.22,,$25.21M,,United States of America,Health Care,Pharmaceuticals,No
FGI,FGI Industries Ltd,2.65,,$25.18M,,United States of America,Industrials,Trading Companies & Distributors,No
DKLRF,Decklar Resources Inc,0.2759,0.01508,$25.17M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
VMNT,Vemantin Group Inc,0.3495,,$25.13M,,United States of America,Communication Services,Diversified Telecommunication Services,No
SLNFF,Solution Financial Inc,0.2849,,$25.11M,,Canada,Financials,Diversified Financial Services,No
PETV,PetVivo Holdings Inc,2.5,0.04338,$25.10M,,United States of America,Health Care,Health Care Equipment & Supplies,No
YGTFF,Gold Terra Resource Corp,0.1273,0.05706,$25.01M,,Canada,Materials,Metals & Mining,No
PROM,Propel Media Inc,0.1,,$25.00M,,United States of America,Communication Services,Interactive Media & Services,No
WAVE,Eco Wave Power Global AB (publ),4.5,,$24.97M,,Sweden,Utilities,Independent Power and Renewable Electricity Producers,No
SAENF,Solar Alliance Energy Inc,0.0908,0.03804,$24.97M,,Canada,Utilities,Independent Power and Renewable Electricity Producers,No
TLIS,Talis Biomedical Corp,0.9374,0.21363,$24.95M,,United States of America,Health Care,Health Care Equipment & Supplies,No
ATBPF,Antibe Therapeutics Inc,0.4785,0.00643,$24.94M,,Canada,Health Care,Pharmaceuticals,No
MSNVF,Mission Ready Solutions Inc,0.1227,,$24.91M,,Canada,Industrials,Aerospace & Defense,No
OLB,OLB Group Inc (The),1.69,,$24.85M,,United States of America,Information Technology,IT Services,No
CHNR,China Natural Resources Inc,0.606,0.03032,$24.81M,,Hong Kong,Materials,Metals & Mining,No
CRSXF,Corsa Coal Corp,0.24,0.1964,$24.79M,,United States of America,Materials,Metals & Mining,No
NISN,NiSun International Enterprise Development Group C,0.7524,0.68814,$24.64M,,China,Information Technology,Software,No
AEZS,AEterna Zentaris Inc,5.05,0.06574,$24.52M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
AYLA,Ayala Pharmaceuticals Inc,1.66,1.67036,$24.51M,,Israel,Health Care,Biotechnology,No
ITMZF,React Gaming Group Inc,0.146,,$24.45M,,Canada,Information Technology,IT Services,No
SONX,Sonendo Inc,0.9176,0.12046,$24.42M,,United States of America,Health Care,Health Care Equipment & Supplies,No
OVTZ,Oculus Visiontech Inc,0.26664,0.04853,$24.38M,,Canada,Information Technology,IT Services,No
VVPR,VivioPower International Plc,1.14,0.37059,$24.36M,,United Kingdom,Utilities,Independent Power and Renewable Electricity Producers,Yes (Option Chain)
YCBD,cbdMD Inc,0.41,0.24683,$24.34M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
MGLQF,Magna Gold Corp,0.265,,$24.32M,,Canada,Materials,Metals & Mining,No
IKT,Inhibikase Therapeutics Inc,0.9637,0.22583,$24.31M,,United States of America,Health Care,Biotechnology,No
ELTK,Eltek Ltd,4.15,0.00774,$24.28M,,Israel,Information Technology,"Electronic Equipment, Instruments & Components",No
ABEO,Abeona Therapeutics Inc,4.08,0.14305,$24.28M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ASTC,Astrotech Corp,0.48,0.18668,$24.25M,,United States of America,Industrials,Aerospace & Defense,No
SGLDF,Sabre Gold Mines Corp,0.0383,0.06779,$24.24M,,Canada,Materials,Metals & Mining,No
NMNX,Nationsmark Nexgen,,,$24.24M,,United States of America,Financials,Capital Markets,No
WHLM,Wilhelmina International Inc,4.7,0.02262,$24.24M,,United States of America,Industrials,Commercial Services & Supplies,No
MMSDF,MacArthur Minerals Ltd,0.1457,,$24.14M,,Australia,Materials,Metals & Mining,No
REED,Reeds Inc,0.214,0.56132,$24.12M,,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
SYN,Synthetic Biologics Inc,1.52,0.16071,$24.08M,,United States of America,Health Care,Biotechnology,No
ACER,Acer Therapeutics Inc,1.51,0.14453,$24.07M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
ATHE,Alterity Therapeutics Ltd,0.6,0.09373,$24.07M,,Australia,Health Care,Biotechnology,No
TPST,Tempest Therapeutics Inc,2.31,,$24.07M,,United States of America,Health Care,Biotechnology,No
SPVNF,Spectra7 Microsystems Inc,0.7147,0.02033,$24.05M,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,No
STCB,Starco Brands Inc,0.15,0.03733,$24.04M,,United States of America,Consumer Discretionary,Internet & Direct Marketing Retail,No
NURO,NeuroMetrix Inc,3.37,1.16366,$24.03M,,United States of America,Health Care,Health Care Equipment & Supplies,No
ASAPF,Aurora Spine Corp,0.3891,0.02294,$24.00M,,Canada,Health Care,Health Care Equipment & Supplies,No
RMSL,REMSleep Holdings Inc,0.0164,13.81998,$23.97M,,United States of America,Health Care,Health Care Equipment & Supplies,No
INPX,Inpixon,0.1475,3.93605,$23.89M,,United States of America,Information Technology,IT Services,No
FISOF,Fission 3.0 Corp,0.08,0.17132,$23.73M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
TAIT,Taitron Components Inc,3.94,0.01995,$23.62M,4.56853,United States of America,Information Technology,"Electronic Equipment, Instruments & Components",No
PDPTF,PUDO Inc,0.87,0.00354,$23.62M,,Canada,Industrials,Air Freight & Logistics,No
VLMGF,Viscount Mining Corp,0.2814,,$23.60M,,Canada,Materials,Metals & Mining,No
MNXXF,Manganese X Energy Corp,0.186,0.0592,$23.57M,,Canada,Materials,Metals & Mining,No
NULGF,NuLegacy Gold Corp,0.04,0.17782,$23.55M,,Canada,Materials,Metals & Mining,No
VEXTF,Vext Science Inc,0.3337,,$23.55M,,United States of America,Health Care,Pharmaceuticals,No
BTX,Brooklyn ImmunoTherapeutics Inc,0.4,0.57002,$23.53M,,United States of America,Health Care,Biotechnology,No
FMHS,Farmhouse Inc,1.48,,$23.53M,,United States of America,Communication Services,Diversified Telecommunication Services,No
BHLL,Bunker Hill Mining Corp,0.10685,0.07005,$23.47M,,Canada,Materials,Metals & Mining,No
SLHGF,Skylight Health Group Inc,0.5847,,$23.46M,,Canada,Health Care,Health Care Providers & Services,No
CRMZ,Creditriskmonitor.com Inc,2.18,0.00294,$23.37M,,United States of America,Financials,Capital Markets,No
OTIC,Otonomy Inc,0.41,1.20341,$23.37M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
NRSN,NeuroSense Therapeutics Ltd,2.0,,$23.35M,,Israel,Health Care,Biotechnology,No
ATCMF,Atico Mining Corp,0.1925,0.03515,$23.35M,,Canada,Materials,Metals & Mining,No
WAVD,WaveDancer Inc,1.22,0.0774,$23.33M,,United States of America,Information Technology,IT Services,No
IDW,IDW Media Holdings Inc,1.72,,$23.28M,,United States of America,Communication Services,Media,No
AKAN,Akanda Corp,0.7552,,$23.27M,,United Kingdom,Health Care,Pharmaceuticals,No
PTUUF,Purepoint Uranium Group Inc,0.06765,0.14784,$23.26M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
RAVE,Rave Restaurant Group Inc,1.29,0.10786,$23.23M,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
WPHM,Winston Pharmaceuticals Inc,0.3,,$23.22M,,United States of America,Health Care,Pharmaceuticals,No
GVP,GSE Systems Inc,1.0923,0.03037,$23.21M,,United States of America,Information Technology,Software,No
ASNS,Actelis Networks Inc,1.3399,,$23.20M,,United States of America,Information Technology,Communications Equipment,No
NBSE,NeuBase Therapeutics Inc,0.7183,0.06305,$23.17M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
SECO,Secoo Holding Ltd,0.3278,0.33011,$23.16M,,China,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
ALMC,Alimco Financial Corp,7.0,,$23.14M,,United States of America,Financials,Capital Markets,No
CYSM,Community Bancorp Santa Maria,10.6801,,$23.13M,1.87264,United States of America,Financials,Banks,No
STLY,HG Holdings Inc,8.05,0.0012,$23.13M,,United States of America,--,--,No
MITO,Stealth BioTherapeutics Corp,0.3144,1.99058,$23.12M,,Cayman Islands,Health Care,Biotechnology,No
LSF,Laird Superfood Inc,2.52,0.1203,$23.12M,,United States of America,Consumer Staples,Food Products,No
LCI,Lannett Co Inc.,0.5377,0.26065,$23.10M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
OPGN,OpGen Inc,0.4779,0.43359,$23.10M,,United States of America,Health Care,Biotechnology,No
GENE,Genetic Technologies Ltd,1.5,0.07029,$23.09M,,Australia,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
PVCT,Provectus Biopharmaceuticals Inc,0.055,0.17119,$23.07M,,United States of America,Health Care,Pharmaceuticals,No
DATS,DatChat Inc,1.12,0.3016,$23.07M,,United States of America,Information Technology,Software,No
IHT,InnSuites Hospitality Trust,2.5265,0.02496,$23.04M,0.79161,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),No
FAMI,Farmmi Inc,1.03,0.9609,$22.99M,,China,Consumer Staples,Food Products,No
GOMRF,Geomega Resources Inc,0.1625,0.0149,$22.98M,,Canada,Materials,Metals & Mining,No
CREG,Smart Powerr Corp,3.23,0.02096,$22.94M,,China,Industrials,Commercial Services & Supplies,No
XCRT,Xcelerate Inc,0.06,,$22.83M,,United States of America,Health Care,Health Care Providers & Services,No
VGFC,Very Good Food Co Inc (The),0.1725,,$22.82M,,Canada,Consumer Staples,Food Products,No
VERO,Venus Concept Inc,0.3484,0.22975,$22.81M,,Canada,Health Care,Health Care Equipment & Supplies,No
IDKFF,ThreeD Capital Inc,0.47179,0.0071,$22.80M,,Canada,Financials,Capital Markets,No
XELB,Xcel Brands Inc,1.16,0.08056,$22.77M,,United States of America,Consumer Discretionary,Specialty Retail,No
WNW,Meiwu Technology Company Limited,0.69,0.17876,$22.75M,,China,Consumer Discretionary,Internet & Direct Marketing Retail,No
JCTCF,Jewett-Cameron Trading Co Ltd,6.5125,0.0034,$22.75M,,United States of America,Industrials,Building Products,No
CARV,Carver Bancorp Inc,5.38,0.17351,$22.73M,,United States of America,Financials,Thrifts & Mortgage Finance,No
CNFR,Conifer Holdings Inc,1.86,0.02279,$22.72M,,United States of America,Financials,Insurance,No
RGLS,Regulus Therapeutics Inc,1.55,0.18115,$22.68M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
SGTX,Sigilon Therapeutics Inc,0.7,0.09583,$22.68M,,United States of America,Health Care,Biotechnology,No
EEIQ,Elite Education Group International Ltd,2.05,0.01238,$22.64M,,United States of America,Consumer Discretionary,Diversified Consumer Services,No
GLGI,Greystone Logistics Inc,0.8005,0.0057,$22.64M,,United States of America,Materials,Chemicals,No
CTGL,Citrine Global Corp,0.024,0.01348,$22.62M,,Israel,Consumer Staples,Personal Products,No
POROF,Panoro Minerals Ltd,0.0852,0.0429,$22.52M,,Canada,Materials,Metals & Mining,No
XTMIF,XTM Inc,0.1319,,$22.49M,,Canada,Information Technology,IT Services,No
GLOH,Glow Holdings Inc,0.13875,,$22.48M,,United States of America,Consumer Staples,Food Products,No
FVPI,FV Pharma International Corp,179.75,,$22.47M,,Canada,Health Care,Pharmaceuticals,No
AGXPF,Silver X Mining Corp,0.16,,$22.46M,,Canada,Materials,Metals & Mining,No
ENSV,Enservco Corp,1.95,0.69023,$22.41M,,United States of America,Energy,Energy Equipment & Services,No
SMAGF,Soma Gold Corp,0.246,0.01587,$22.41M,,Canada,Materials,Metals & Mining,No
ONVO,Organovo Holdings Inc,2.57,0.0788,$22.39M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
AGE,AgeX Therapeutics Inc,0.5899,0.03423,$22.38M,,United States of America,Health Care,Biotechnology,No
GPTRF,Grande Portage Resources Ltd,0.20635,0.04159,$22.32M,,Canada,Materials,Metals & Mining,No
CSCW,Color Star Technology Co Ltd,0.1188,9.66216,$22.24M,,United States of America,Information Technology,Software,No
FEMY,Femasys Inc,1.88,0.26941,$22.21M,,United States of America,Health Care,Health Care Equipment & Supplies,No
MNPR,Monopar Therapeutics Inc,1.745,0.00908,$22.21M,,United States of America,Health Care,Biotechnology,No
AIRI,Air Industries Group Inc,0.6857,0.05089,$22.19M,,United States of America,Industrials,Aerospace & Defense,No
XPON,Expion360 Inc,3.26,,$22.17M,,United States of America,Industrials,Electrical Equipment,No
OGOFF,Organto Foods Inc,0.07845,,$22.14M,,Canada,Consumer Staples,Food Products,No
TNON,Tenon Medical Inc,1.97,,$22.14M,,United States of America,Health Care,Health Care Equipment & Supplies,No
LPSIF,Legend Power Systems Inc,0.18823,,$22.13M,,Canada,Information Technology,"Electronic Equipment, Instruments & Components",No
ENZN,Enzon Pharmaceuticals Inc,0.2975,0.05531,$22.08M,,United States of America,Health Care,Biotechnology,No
KHRNF,Khiron Life Sciences Corp,0.102,,$22.07M,,Canada,Health Care,Pharmaceuticals,No
OPXS,Optex Systems Holdings Inc,2.65,0.0103,$22.05M,,United States of America,Industrials,Aerospace & Defense,No
KZIA,Kazia Therapeutics Ltd,1.61,0.45554,$22.04M,,Australia,Health Care,Biotechnology,Yes (Option Chain)
RETO,Reto Eco-Solutions Inc,0.5924,0.4998,$22.00M,,China,Materials,Construction Materials,No
AUST,Austin Gold Corp,1.6499,,$21.90M,,Canada,Materials,Metals & Mining,No
PEGY,Pineapple Energy Inc,2.94,,$21.86M,10.88435,United States of America,Industrials,Electrical Equipment,No
CUAUF,C3 Metals Inc,0.03708,,$21.86M,,Canada,Materials,Metals & Mining,No
VYNT,Vyant Bio Inc,0.7442,,$21.84M,,United States of America,Health Care,Biotechnology,No
CLLXF,Callinex Mines Inc,1.462,,$21.83M,,Canada,Materials,Metals & Mining,No
HALL,Hallmark Financial Services Inc,1.2,0.07482,$21.82M,,United States of America,Financials,Insurance,Yes (Option Chain)
BTCS,BTCS Inc,1.68,,$21.78M,,United States of America,Information Technology,Software,No
LUCY,Innovative Eyewear Inc,2.98,,$21.77M,,United States of America,Health Care,Health Care Equipment & Supplies,No
CKX,CKX Lands Inc,11.08,0.00306,$21.76M,,United States of America,Real Estate,Real Estate Management & Development,No
ALEAF,Aleafia Health Inc,0.054,0.0799,$21.76M,,Canada,Health Care,Health Care Providers & Services,No
MDJH,MDJM Ltd,1.85,0.12161,$21.60M,,China,Real Estate,Real Estate Management & Development,No
AGTC,Applied Genetic Technologies Corp,0.4253,0.99663,$21.58M,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
FDCFF,Forum Energy Metals Corp,0.126,0.17631,$21.52M,,Canada,Energy,"Oil, Gas & Consumable Fuels",No
NCRA,Nocera Inc,2.01,,$21.52M,,Taiwan,Industrials,Construction & Engineering,No
GRAY,Graybug Vision Inc,1.0,0.43483,$21.52M,,United States of America,Health Care,Pharmaceuticals,No
TTNP,Titan Pharmaceuticals Inc,1.47,0.5802,$21.50M,,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
WYY,Widepoint Corp,2.46,0.07018,$21.49M,,United States of America,Information Technology,IT Services,No
ASPU,Aspen Group Inc,0.8501,0.0572,$21.45M,,United States of America,Consumer Discretionary,Diversified Consumer Services,No
GGGOF,Galane Gold Ltd,0.06,0.13797,$21.38M,,Canada,Materials,Metals & Mining,No
